"ID","ReferenceType","ReferenceID"
"Neu-Syn-150","NomRef","Neu-Ref-637"
"Neu-Syn-151","NomRef","Neu-Ref-637"
"Neu-Syn-152","NomRef","Neu-Ref-637"
"Neu-Syn-153","NomRef","Neu-Ref-639"
"Neu-Syn-154","NomRef","Neu-Ref-665"
"Neu-Syn-155","NomRef","Neu-Ref-693"
"Neu-Syn-172","NomRef","Neu-Ref-1219"
"Neu-Syn-173","NomRef","Neu-Ref-1222"
"Neu-Syn-174","NomRef","Neu-Ref-3546"
"Neu-Syn-175","NomRef","Neu-Ref-3560"
"Neu-Syn-176","NomRef","Neu-Ref-720"
"Neu-Syn-177","NomRef","Neu-Ref-693"
"Neu-Syn-178","NomRef","Neu-Ref-708"
"Neu-Syn-179","NomRef","Neu-Ref-4645"
"Neu-Syn-180","NomRef","Neu-Ref-485"
"Neu-Syn-181","NomRef","Neu-Ref-673"
"Neu-Syn-182","NomRef","Neu-Ref-3562"
"Neu-Syn-183","NomRef","Neu-Ref-3558"
"Neu-Syn-184","NomRef","Neu-Ref-3562"
"Neu-Syn-185","NomRef","Neu-Ref-760"
"Neu-Syn-186","NomRef","Neu-Ref-1169"
"Neu-Syn-187","NomRef","Neu-Ref-485"
"Neu-Syn-188","NomRef","Neu-Ref-485"
"Neu-Syn-189","NomRef","Neu-Ref-488"
"Neu-Syn-190","NomRef","Neu-Ref-495"
"Neu-Syn-191","NomRef","Neu-Ref-495"
"Neu-Syn-192","NomRef","Neu-Ref-495"
"Neu-Syn-193","NomRef","Neu-Ref-1169"
"Neu-Syn-194","NomRef","Neu-Ref-5632"
"Neu-Syn-195","NomRef","Neu-Ref-534"
"Neu-Syn-196","NomRef","Neu-Ref-534"
"Neu-Syn-197","NomRef","Neu-Ref-665"
"Neu-Syn-198","NomRef","Neu-Ref-693"
"Neu-Syn-199","NomRef","Neu-Ref-700"
"Neu-Syn-200","NomRef","Neu-Ref-700"
"Neu-Syn-201","NomRef","Neu-Ref-700"
"Neu-Syn-202","NomRef","Neu-Ref-731"
"Neu-Syn-203","NomRef","Neu-Ref-731"
"Neu-Syn-204","NomRef","Neu-Ref-877"
"Neu-Syn-205","NomRef","Neu-Ref-4645"
"Neu-Syn-206","NomRef","Neu-Ref-4645"
"Neu-Syn-207","NomRef","Neu-Ref-4645"
"Neu-Syn-208","NomRef","Neu-Ref-1212"
"Neu-Syn-209","NomRef","Neu-Ref-1214"
"Neu-Syn-210","NomRef","Neu-Ref-1219"
"Neu-Syn-211","NomRef","Neu-Ref-4773"
"Neu-Syn-212","NomRef","Neu-Ref-4863"
"Neu-Syn-213","NomRef","Neu-Ref-3558"
"Neu-Syn-214","NomRef","Neu-Ref-488"
"Neu-Syn-215","NomRef","Neu-Ref-488"
"Neu-Syn-216","NomRef","Neu-Ref-495"
"Neu-Syn-217","NomRef","Neu-Ref-3548"
"Neu-Syn-218","NomRef","Neu-Ref-3558"
"Neu-Syn-219","NomRef","Neu-Ref-3558"
"Neu-Syn-220","NomRef","Neu-Ref-3558"
"Neu-Syn-221","NomRef","Neu-Ref-3558"
"Neu-1","NomRef","Neu-Ref-3467"
"Neu-2","NomRef","Neu-Ref-1017"
"Neu-3","NomRef","Neu-Ref-385"
"Neu-4","NomRef","Neu-Ref-2346"
"Neu-5","NomRef","Neu-Ref-2960"
"Neu-6","NomRef","Neu-Ref-760"
"Neu-7","NomRef","Neu-Ref-5872"
"Neu-8","NomRef","Neu-Ref-3434"
"Neu-9","NomRef","Neu-Ref-3434"
"Neu-10","NomRef","Neu-Ref-2822"
"Neu-11","NomRef","Neu-Ref-633"
"Neu-12","NomRef","Neu-Ref-20"
"Neu-14","NomRef","Neu-Ref-5959"
"Neu-15","NomRef","Neu-Ref-860"
"Neu-16","NomRef","Neu-Ref-6655"
"Neu-18","NomRef","Neu-Ref-569"
"Neu-20","NomRef","Neu-Ref-350"
"Neu-23","NomRef","Neu-Ref-14626"
"Neu-26","NomRef","Neu-Ref-595"
"Neu-27","NomRef","Neu-Ref-1095"
"Neu-28","NomRef","Neu-Ref-859"
"Neu-30","NomRef","Neu-Ref-603"
"Neu-31","NomRef","Neu-Ref-1085"
"Neu-32","NomRef","Neu-Ref-2982"
"Neu-35","NomRef","Neu-Ref-2005"
"Neu-36","NomRef","Neu-Ref-559"
"Neu-38","NomRef","Neu-Ref-2559"
"Neu-39","NomRef","Neu-Ref-2964"
"Neu-40","NomRef","Neu-Ref-316"
"Neu-44","NomRef","Neu-Ref-3279"
"Neu-45","NomRef","Neu-Ref-461"
"Neu-47","NomRef","Neu-Ref-784"
"Neu-48","NomRef","Neu-Ref-15642"
"Neu-49","NomRef","Neu-Ref-15409"
"Neu-50","NomRef","Neu-Ref-15405"
"Neu-52","NomRef","Neu-Ref-73"
"Neu-53","NomRef","Neu-Ref-975"
"Neu-54","NomRef","Neu-Ref-52"
"Neu-55","NomRef","Neu-Ref-14656"
"Neu-56","NomRef","Neu-Ref-3531"
"Neu-57","NomRef","Neu-Ref-6049"
"Neu-58","NomRef","Neu-Ref-821"
"Neu-59","NomRef","Neu-Ref-2559"
"Neu-60","NomRef","Neu-Ref-1585"
"Neu-61","NomRef","Neu-Ref-122"
